Training FedAvg...
Round [1/200]	 Train Loss [4.5746]	 Train Acc [5.14]	 Train Time [16.16]
Round [117/200]	 Train Loss [0.8902]	 Train Acc [76.96]	 Train Time [16.19]
Round [118/200]	 Train Loss [0.7049]	 Train Acc [81.68]	 Train Time [11.87]
Round [119/200]	 Train Loss [0.8160]	 Train Acc [79.29]	 Train Time [16.73]
Round [120/200]	 Train Loss [0.7910]	 Train Acc [79.47]	 Test Loss [4.1354|5.5378]	 Test Acc [20.01(4.34)|23.20(4.14)]	 Train Time [13.01]
Round [121/200]	 Train Loss [0.7827]	 Train Acc [79.95]	 Train Time [19.15]
Round [122/200]	 Train Loss [0.7351]	 Train Acc [80.79]	 Train Time [11.44]
Round [123/200]	 Train Loss [0.7694]	 Train Acc [80.16]	 Train Time [18.86]
Round [124/200]	 Train Loss [0.6919]	 Train Acc [82.07]	 Train Time [17.78]
Round [125/200]	 Train Loss [0.7570]	 Train Acc [80.27]	 Train Time [14.53]
Round [126/200]	 Train Loss [0.8206]	 Train Acc [78.61]	 Train Time [18.10]
Round [127/200]	 Train Loss [0.7720]	 Train Acc [79.82]	 Train Time [12.31]
Round [128/200]	 Train Loss [0.7396]	 Train Acc [80.89]	 Train Time [17.48]
Round [129/200]	 Train Loss [0.7042]	 Train Acc [81.83]	 Train Time [12.16]
Round [130/200]	 Train Loss [0.6882]	 Train Acc [81.88]	 Train Time [13.96]
Round [131/200]	 Train Loss [0.6432]	 Train Acc [83.21]	 Train Time [13.18]
Round [132/200]	 Train Loss [0.6616]	 Train Acc [82.57]	 Train Time [12.52]
Round [133/200]	 Train Loss [0.6925]	 Train Acc [81.92]	 Train Time [16.13]
Round [134/200]	 Train Loss [0.6837]	 Train Acc [82.22]	 Train Time [15.63]
Round [135/200]	 Train Loss [0.6864]	 Train Acc [82.16]	 Train Time [19.54]
Round [136/200]	 Train Loss [0.6203]	 Train Acc [83.59]	 Train Time [17.87]
Round [137/200]	 Train Loss [0.6872]	 Train Acc [81.92]	 Train Time [13.50]
Round [138/200]	 Train Loss [0.7383]	 Train Acc [80.77]	 Train Time [20.18]
Round [139/200]	 Train Loss [0.7095]	 Train Acc [81.33]	 Train Time [14.89]
Round [140/200]	 Train Loss [0.7062]	 Train Acc [81.63]	 Test Loss [4.1432|5.6279]	 Test Acc [20.24(4.60)|23.65(4.05)]	 Train Time [12.87]
Round [141/200]	 Train Loss [0.6897]	 Train Acc [81.99]	 Train Time [18.95]
Round [142/200]	 Train Loss [0.6333]	 Train Acc [83.34]	 Train Time [12.85]
Round [143/200]	 Train Loss [0.7337]	 Train Acc [80.69]	 Train Time [12.38]
Round [144/200]	 Train Loss [0.6367]	 Train Acc [83.46]	 Train Time [14.82]
Round [145/200]	 Train Loss [0.6120]	 Train Acc [83.96]	 Train Time [16.82]
Round [146/200]	 Train Loss [0.6448]	 Train Acc [82.80]	 Train Time [14.94]
Round [147/200]	 Train Loss [0.6007]	 Train Acc [84.24]	 Train Time [20.51]
Round [148/200]	 Train Loss [0.6266]	 Train Acc [83.55]	 Train Time [15.57]
Round [149/200]	 Train Loss [0.7024]	 Train Acc [81.49]	 Train Time [14.28]
Round [150/200]	 Train Loss [0.6641]	 Train Acc [82.42]	 Train Time [14.02]
Round [151/200]	 Train Loss [0.6168]	 Train Acc [83.65]	 Train Time [17.54]
Round [152/200]	 Train Loss [0.7366]	 Train Acc [80.89]	 Train Time [11.62]
Round [153/200]	 Train Loss [0.7300]	 Train Acc [80.74]	 Train Time [16.24]
Round [154/200]	 Train Loss [0.6436]	 Train Acc [83.09]	 Train Time [13.44]
Round [155/200]	 Train Loss [0.6345]	 Train Acc [83.34]	 Train Time [13.89]
Round [156/200]	 Train Loss [0.5536]	 Train Acc [85.27]	 Train Time [16.34]
Round [157/200]	 Train Loss [0.7086]	 Train Acc [81.61]	 Train Time [13.59]
Round [158/200]	 Train Loss [0.6402]	 Train Acc [82.98]	 Train Time [13.77]
Round [159/200]	 Train Loss [0.6390]	 Train Acc [82.95]	 Train Time [13.67]
Round [160/200]	 Train Loss [0.6391]	 Train Acc [83.18]	 Test Loss [4.3141|5.7562]	 Test Acc [20.35(4.43)|23.44(3.79)]	 Train Time [17.79]
Round [161/200]	 Train Loss [0.6349]	 Train Acc [83.50]	 Train Time [12.06]
Round [162/200]	 Train Loss [0.5674]	 Train Acc [84.71]	 Train Time [13.17]
Round [163/200]	 Train Loss [0.5311]	 Train Acc [85.86]	 Train Time [16.50]
Round [164/200]	 Train Loss [0.6132]	 Train Acc [83.66]	 Train Time [14.25]
Round [165/200]	 Train Loss [0.6650]	 Train Acc [82.51]	 Train Time [10.95]
Round [166/200]	 Train Loss [0.5929]	 Train Acc [84.22]	 Train Time [15.80]
Round [167/200]	 Train Loss [0.6306]	 Train Acc [83.35]	 Train Time [17.29]
Round [168/200]	 Train Loss [0.6250]	 Train Acc [83.39]	 Train Time [14.01]
Round [169/200]	 Train Loss [0.5236]	 Train Acc [85.94]	 Train Time [13.02]
Round [170/200]	 Train Loss [0.6586]	 Train Acc [82.55]	 Train Time [17.41]
Round [171/200]	 Train Loss [0.5573]	 Train Acc [84.93]	 Train Time [17.66]
Round [172/200]	 Train Loss [0.6026]	 Train Acc [84.07]	 Train Time [15.99]
Round [173/200]	 Train Loss [0.5050]	 Train Acc [86.33]	 Train Time [13.39]
Round [174/200]	 Train Loss [0.6105]	 Train Acc [83.95]	 Train Time [12.87]
Round [175/200]	 Train Loss [0.6315]	 Train Acc [83.20]	 Train Time [12.18]
Round [176/200]	 Train Loss [0.5791]	 Train Acc [84.62]	 Train Time [13.38]
Round [177/200]	 Train Loss [0.6692]	 Train Acc [82.19]	 Train Time [13.68]
Round [178/200]	 Train Loss [0.6081]	 Train Acc [83.97]	 Train Time [16.36]
Round [179/200]	 Train Loss [0.5706]	 Train Acc [84.58]	 Train Time [15.95]
Round [180/200]	 Train Loss [0.5864]	 Train Acc [84.32]	 Test Loss [4.4141|5.9706]	 Test Acc [19.97(4.17)|23.87(4.46)]	 Train Time [12.39]
Round [181/200]	 Train Loss [0.5631]	 Train Acc [84.94]	 Train Time [13.18]
Round [182/200]	 Train Loss [0.5270]	 Train Acc [85.85]	 Train Time [8.93]
Round [183/200]	 Train Loss [0.5492]	 Train Acc [85.34]	 Train Time [12.46]
Round [184/200]	 Train Loss [0.4911]	 Train Acc [86.69]	 Train Time [10.65]
Round [185/200]	 Train Loss [0.5712]	 Train Acc [84.86]	 Train Time [14.26]
Round [186/200]	 Train Loss [0.5608]	 Train Acc [84.79]	 Train Time [12.46]
Round [187/200]	 Train Loss [0.5670]	 Train Acc [84.72]	 Train Time [14.11]
Round [188/200]	 Train Loss [0.5196]	 Train Acc [85.95]	 Train Time [14.51]
Round [189/200]	 Train Loss [0.7116]	 Train Acc [80.95]	 Train Time [9.19]
Round [190/200]	 Train Loss [0.6111]	 Train Acc [83.47]	 Train Time [11.05]
Round [191/200]	 Train Loss [0.4527]	 Train Acc [87.51]	 Train Time [10.49]
Round [192/200]	 Train Loss [0.5361]	 Train Acc [85.53]	 Train Time [14.28]
Round [193/200]	 Train Loss [0.6208]	 Train Acc [83.23]	 Train Time [10.05]
Round [194/200]	 Train Loss [0.5441]	 Train Acc [85.39]	 Train Time [13.90]
Round [195/200]	 Train Loss [0.6075]	 Train Acc [83.61]	 Train Time [8.92]
Round [196/200]	 Train Loss [0.5471]	 Train Acc [85.27]	 Train Time [12.54]
Round [197/200]	 Train Loss [0.5998]	 Train Acc [84.00]	 Train Time [14.55]
Round [198/200]	 Train Loss [0.6089]	 Train Acc [83.47]	 Train Time [8.16]
Round [199/200]	 Train Loss [0.5213]	 Train Acc [85.92]	 Train Time [13.96]
Round [200/200]	 Train Loss [0.5298]	 Train Acc [85.64]	 Test Loss [4.4592|6.1449]	 Test Acc [20.91(4.54)|24.13(4.10)]	 Train Time [40.32]
Method took (15.15, 3.27) seconds per training iteration
Method took (3086.53) total seconds
