Training FedPac...
Round [89/200]	Train Loss (CE|Proto) [1.0916|0.0205]	Train Acc (Rep) [62.53]	Time [25.88s]
Round [90/200]	Train Loss (CE|Proto) [1.1179|0.0211]	Train Acc (Rep) [62.59]	Time [33.51s]
Round [91/200]	Train Loss (CE|Proto) [1.1047|0.0215]	Train Acc (Rep) [63.68]	Time [20.32s]
Round [92/200]	Train Loss (CE|Proto) [1.1961|0.0226]	Train Acc (Rep) [60.10]	Time [20.04s]
Round [93/200]	Train Loss (CE|Proto) [1.1370|0.0229]	Train Acc (Rep) [61.66]	Time [27.07s]
Round [94/200]	Train Loss (CE|Proto) [1.0770|0.0218]	Train Acc (Rep) [64.76]	Time [37.06s]
Round [95/200]	Train Loss (CE|Proto) [1.0775|0.0208]	Train Acc (Rep) [63.65]	Time [28.09s]
Round [96/200]	Train Loss (CE|Proto) [1.2073|0.0208]	Train Acc (Rep) [60.01]	Time [21.41s]
Round [97/200]	Train Loss (CE|Proto) [1.1350|0.0224]	Train Acc (Rep) [61.35]	Time [41.44s]
Round [98/200]	Train Loss (CE|Proto) [1.0462|0.0232]	Train Acc (Rep) [63.85]	Time [34.86s]
Round [99/200]	Train Loss (CE|Proto) [1.0901|0.0226]	Train Acc (Rep) [64.45]	Time [18.49s]
Round [100/200]	Train Loss (CE|Proto) [1.1061|0.0220]	Train Acc (Rep) [61.93]	Test Loss (Global|Pers) [2.0483|1.1216]	Test Acc (Global|Pers) [35.99(14.85)|62.21(14.43)]	Time [17.70s]
Round [101/200]	Train Loss (CE|Proto) [1.1971|0.0235]	Train Acc (Rep) [59.69]	Time [23.26s]
Round [102/200]	Train Loss (CE|Proto) [1.0501|0.0244]	Train Acc (Rep) [65.26]	Time [27.94s]
Round [103/200]	Train Loss (CE|Proto) [1.0891|0.0242]	Train Acc (Rep) [62.81]	Time [30.08s]
Round [104/200]	Train Loss (CE|Proto) [1.0430|0.0256]	Train Acc (Rep) [64.22]	Time [26.24s]
Round [105/200]	Train Loss (CE|Proto) [1.0362|0.0241]	Train Acc (Rep) [65.58]	Time [26.66s]
Round [106/200]	Train Loss (CE|Proto) [1.1259|0.0226]	Train Acc (Rep) [61.94]	Time [22.58s]
Round [107/200]	Train Loss (CE|Proto) [1.1469|0.0238]	Train Acc (Rep) [60.93]	Time [28.35s]
Round [108/200]	Train Loss (CE|Proto) [1.0423|0.0251]	Train Acc (Rep) [64.17]	Time [20.47s]
Round [109/200]	Train Loss (CE|Proto) [1.0740|0.0245]	Train Acc (Rep) [63.73]	Time [31.02s]
Round [110/200]	Train Loss (CE|Proto) [1.0799|0.0241]	Train Acc (Rep) [63.81]	Time [25.42s]
Round [111/200]	Train Loss (CE|Proto) [1.1441|0.0244]	Train Acc (Rep) [61.54]	Time [34.39s]
Round [112/200]	Train Loss (CE|Proto) [1.0797|0.0260]	Train Acc (Rep) [63.26]	Time [29.06s]
Round [113/200]	Train Loss (CE|Proto) [1.0516|0.0262]	Train Acc (Rep) [64.02]	Time [27.93s]
Round [114/200]	Train Loss (CE|Proto) [1.0698|0.0254]	Train Acc (Rep) [64.01]	Time [32.46s]
