Training pFedFDA...
Round [1/200]	 Train Loss [4.0942]	 Train Acc [9.58]	 Train Time [22.96]
Round [42/200]	 Train Loss [1.0575]	 Train Acc [74.10]	 Train Time [32.32]
Round [43/200]	 Train Loss [1.0820]	 Train Acc [73.37]	 Train Time [33.22]
Round [44/200]	 Train Loss [1.0212]	 Train Acc [74.92]	 Train Time [43.16]
Round [45/200]	 Train Loss [1.0083]	 Train Acc [75.29]	 Train Time [39.97]
Round [46/200]	 Train Loss [0.9316]	 Train Acc [77.22]	 Train Time [34.10]
Round [47/200]	 Train Loss [1.0176]	 Train Acc [75.51]	 Train Time [40.80]
Round [48/200]	 Train Loss [1.2285]	 Train Acc [71.01]	 Train Time [26.94]
Round [49/200]	 Train Loss [0.9539]	 Train Acc [76.74]	 Train Time [40.35]
Round [50/200]	 Train Loss [1.0602]	 Train Acc [74.32]	 Train Time [28.49]
Round [51/200]	 Train Loss [0.9104]	 Train Acc [77.95]	 Train Time [38.79]
Round [52/200]	 Train Loss [0.9236]	 Train Acc [77.54]	 Train Time [41.05]
Round [53/200]	 Train Loss [0.8912]	 Train Acc [78.39]	 Train Time [46.23]
Round [54/200]	 Train Loss [0.8430]	 Train Acc [79.40]	 Train Time [40.14]
Round [55/200]	 Train Loss [0.9653]	 Train Acc [76.45]	 Train Time [45.44]
Round [56/200]	 Train Loss [0.8156]	 Train Acc [80.07]	 Train Time [45.72]
Round [57/200]	 Train Loss [1.0392]	 Train Acc [74.99]	 Train Time [34.70]
Round [58/200]	 Train Loss [1.0102]	 Train Acc [75.42]	 Train Time [27.88]
Round [59/200]	 Train Loss [0.9138]	 Train Acc [78.00]	 Train Time [30.95]
KL Divergence: μ=6.4065
Round [60/200]	 Train Loss [0.7799]	 Train Acc [81.10]	 Test Loss [3.3310]	 Test Acc [33.81(10.15)]	 Train Time [41.57]
Round [61/200]	 Train Loss [0.8239]	 Train Acc [79.69]	 Train Time [35.38]
Round [62/200]	 Train Loss [0.8434]	 Train Acc [79.48]	 Train Time [40.20]
Round [63/200]	 Train Loss [0.8333]	 Train Acc [79.95]	 Train Time [41.66]
Round [64/200]	 Train Loss [0.9553]	 Train Acc [77.02]	 Train Time [35.53]
Round [65/200]	 Train Loss [0.9202]	 Train Acc [77.66]	 Train Time [41.37]
Round [66/200]	 Train Loss [0.8543]	 Train Acc [79.49]	 Train Time [35.31]
Round [67/200]	 Train Loss [0.7165]	 Train Acc [82.23]	 Train Time [34.74]
Round [68/200]	 Train Loss [0.8849]	 Train Acc [78.63]	 Train Time [36.34]
Round [69/200]	 Train Loss [0.8376]	 Train Acc [79.49]	 Train Time [25.79]
Round [70/200]	 Train Loss [0.9009]	 Train Acc [78.24]	 Train Time [30.89]
Round [71/200]	 Train Loss [0.7426]	 Train Acc [81.90]	 Train Time [38.04]
Round [72/200]	 Train Loss [0.8497]	 Train Acc [79.75]	 Train Time [35.88]
Round [73/200]	 Train Loss [0.7889]	 Train Acc [80.79]	 Train Time [37.55]
Round [74/200]	 Train Loss [0.8553]	 Train Acc [79.41]	 Train Time [37.32]
Round [75/200]	 Train Loss [0.7921]	 Train Acc [80.75]	 Train Time [40.34]
Round [76/200]	 Train Loss [0.7288]	 Train Acc [82.09]	 Train Time [30.05]
Round [77/200]	 Train Loss [0.7812]	 Train Acc [80.99]	 Train Time [32.48]
Round [78/200]	 Train Loss [0.7899]	 Train Acc [81.12]	 Train Time [41.01]
Round [79/200]	 Train Loss [0.8770]	 Train Acc [79.05]	 Train Time [38.27]
KL Divergence: μ=6.6868
Round [80/200]	 Train Loss [0.7484]	 Train Acc [81.67]	 Test Loss [3.3306]	 Test Acc [36.69(9.55)]	 Train Time [50.30]
Round [81/200]	 Train Loss [0.7004]	 Train Acc [82.84]	 Train Time [28.15]
Round [82/200]	 Train Loss [0.7479]	 Train Acc [81.94]	 Train Time [36.15]
Round [83/200]	 Train Loss [0.8076]	 Train Acc [80.58]	 Train Time [40.79]
Round [84/200]	 Train Loss [0.7339]	 Train Acc [81.96]	 Train Time [42.01]
Round [85/200]	 Train Loss [0.6736]	 Train Acc [83.61]	 Train Time [36.82]
Round [86/200]	 Train Loss [0.7446]	 Train Acc [81.73]	 Train Time [30.72]
Round [87/200]	 Train Loss [0.9106]	 Train Acc [78.38]	 Train Time [33.30]
Round [88/200]	 Train Loss [0.7660]	 Train Acc [81.36]	 Train Time [26.99]
Round [89/200]	 Train Loss [0.8009]	 Train Acc [80.58]	 Train Time [35.72]
Round [90/200]	 Train Loss [0.8395]	 Train Acc [79.48]	 Train Time [40.38]
Round [91/200]	 Train Loss [0.6629]	 Train Acc [83.86]	 Train Time [29.09]
Round [92/200]	 Train Loss [0.7797]	 Train Acc [81.30]	 Train Time [36.53]
Round [93/200]	 Train Loss [0.7629]	 Train Acc [81.50]	 Train Time [37.72]
Round [94/200]	 Train Loss [0.8508]	 Train Acc [79.41]	 Train Time [33.74]
Round [95/200]	 Train Loss [0.7797]	 Train Acc [80.97]	 Train Time [28.08]
Round [96/200]	 Train Loss [0.7501]	 Train Acc [81.61]	 Train Time [34.11]
Round [97/200]	 Train Loss [0.7520]	 Train Acc [81.68]	 Train Time [34.40]
Round [98/200]	 Train Loss [0.9052]	 Train Acc [78.28]	 Train Time [21.83]
Round [99/200]	 Train Loss [0.8049]	 Train Acc [80.66]	 Train Time [27.07]
KL Divergence: μ=7.1483
Round [100/200]	 Train Loss [0.7451]	 Train Acc [81.80]	 Test Loss [3.3682]	 Test Acc [36.01(9.42)]	 Train Time [33.99]
Round [101/200]	 Train Loss [0.6620]	 Train Acc [83.90]	 Train Time [37.10]
Round [102/200]	 Train Loss [0.7526]	 Train Acc [81.69]	 Train Time [39.60]
Round [103/200]	 Train Loss [0.6679]	 Train Acc [83.55]	 Train Time [33.04]
Round [104/200]	 Train Loss [0.7851]	 Train Acc [80.95]	 Train Time [34.30]
Round [105/200]	 Train Loss [0.7165]	 Train Acc [82.72]	 Train Time [31.94]
Round [106/200]	 Train Loss [0.6792]	 Train Acc [83.28]	 Train Time [31.49]
Round [107/200]	 Train Loss [0.7886]	 Train Acc [80.63]	 Train Time [24.24]
Round [108/200]	 Train Loss [0.7706]	 Train Acc [81.34]	 Train Time [32.71]
Round [109/200]	 Train Loss [0.8052]	 Train Acc [80.37]	 Train Time [31.30]
Round [110/200]	 Train Loss [0.6541]	 Train Acc [83.79]	 Train Time [26.33]
Round [111/200]	 Train Loss [0.7086]	 Train Acc [82.91]	 Train Time [33.13]
Round [112/200]	 Train Loss [0.7852]	 Train Acc [80.95]	 Train Time [33.31]
Round [113/200]	 Train Loss [0.6611]	 Train Acc [83.69]	 Train Time [30.88]
Round [114/200]	 Train Loss [0.6742]	 Train Acc [83.48]	 Train Time [28.83]
Round [115/200]	 Train Loss [0.6339]	 Train Acc [84.37]	 Train Time [35.46]
Round [116/200]	 Train Loss [0.7385]	 Train Acc [82.15]	 Train Time [28.90]
Round [117/200]	 Train Loss [0.7697]	 Train Acc [81.13]	 Train Time [29.31]
Round [118/200]	 Train Loss [0.7012]	 Train Acc [82.95]	 Train Time [29.00]
Round [119/200]	 Train Loss [0.7020]	 Train Acc [82.72]	 Train Time [24.59]
KL Divergence: μ=7.4484
Round [120/200]	 Train Loss [0.6520]	 Train Acc [84.20]	 Test Loss [3.4565]	 Test Acc [36.17(9.82)]	 Train Time [31.54]
Round [121/200]	 Train Loss [0.6778]	 Train Acc [83.55]	 Train Time [31.60]
Round [122/200]	 Train Loss [0.7897]	 Train Acc [80.96]	 Train Time [30.39]
Round [123/200]	 Train Loss [0.6248]	 Train Acc [84.56]	 Train Time [35.32]
Round [124/200]	 Train Loss [0.6608]	 Train Acc [83.80]	 Train Time [36.92]
Round [125/200]	 Train Loss [0.7067]	 Train Acc [82.70]	 Train Time [31.52]
Round [126/200]	 Train Loss [0.6852]	 Train Acc [83.58]	 Train Time [29.26]
Round [127/200]	 Train Loss [0.5991]	 Train Acc [85.32]	 Train Time [32.45]
Round [128/200]	 Train Loss [0.6520]	 Train Acc [83.91]	 Train Time [24.69]
Round [129/200]	 Train Loss [0.6609]	 Train Acc [83.71]	 Train Time [27.06]
Round [130/200]	 Train Loss [0.6636]	 Train Acc [83.96]	 Train Time [35.93]
Round [131/200]	 Train Loss [0.5700]	 Train Acc [85.84]	 Train Time [34.76]
Round [132/200]	 Train Loss [0.7961]	 Train Acc [80.79]	 Train Time [34.51]
Round [133/200]	 Train Loss [0.6648]	 Train Acc [83.68]	 Train Time [23.29]
Round [134/200]	 Train Loss [0.7235]	 Train Acc [82.73]	 Train Time [35.68]
Round [135/200]	 Train Loss [0.7682]	 Train Acc [81.39]	 Train Time [30.25]
Round [136/200]	 Train Loss [0.7001]	 Train Acc [82.95]	 Train Time [32.82]
Round [137/200]	 Train Loss [0.6353]	 Train Acc [84.30]	 Train Time [27.79]
Round [138/200]	 Train Loss [0.5669]	 Train Acc [86.00]	 Train Time [25.77]
Round [139/200]	 Train Loss [0.6646]	 Train Acc [83.81]	 Train Time [26.47]
KL Divergence: μ=7.7921
Round [140/200]	 Train Loss [0.7297]	 Train Acc [82.48]	 Test Loss [3.5292]	 Test Acc [36.04(10.57)]	 Train Time [25.96]
Round [141/200]	 Train Loss [0.6197]	 Train Acc [84.69]	 Train Time [27.79]
Round [142/200]	 Train Loss [0.7343]	 Train Acc [82.17]	 Train Time [28.02]
Round [143/200]	 Train Loss [0.6321]	 Train Acc [84.48]	 Train Time [27.64]
Round [144/200]	 Train Loss [0.5902]	 Train Acc [85.49]	 Train Time [36.75]
Round [145/200]	 Train Loss [0.6751]	 Train Acc [83.37]	 Train Time [33.32]
Round [146/200]	 Train Loss [0.6435]	 Train Acc [84.39]	 Train Time [25.50]
Round [147/200]	 Train Loss [0.6350]	 Train Acc [84.24]	 Train Time [21.89]
Round [148/200]	 Train Loss [0.6666]	 Train Acc [83.69]	 Train Time [27.86]
Round [149/200]	 Train Loss [0.6213]	 Train Acc [84.78]	 Train Time [25.82]
Round [150/200]	 Train Loss [0.6041]	 Train Acc [85.04]	 Train Time [23.50]
Round [151/200]	 Train Loss [0.5917]	 Train Acc [85.57]	 Train Time [24.97]
Round [152/200]	 Train Loss [0.6479]	 Train Acc [84.13]	 Train Time [24.62]
Round [153/200]	 Train Loss [0.6611]	 Train Acc [83.98]	 Train Time [35.52]
Round [154/200]	 Train Loss [0.7129]	 Train Acc [82.67]	 Train Time [29.38]
Round [155/200]	 Train Loss [0.5532]	 Train Acc [86.22]	 Train Time [26.57]
Round [156/200]	 Train Loss [0.5954]	 Train Acc [85.29]	 Train Time [23.11]
Round [157/200]	 Train Loss [0.6344]	 Train Acc [84.32]	 Train Time [21.40]
Round [158/200]	 Train Loss [0.6428]	 Train Acc [84.44]	 Train Time [26.00]
Round [159/200]	 Train Loss [0.7147]	 Train Acc [82.91]	 Train Time [23.02]
KL Divergence: μ=7.8918
Round [160/200]	 Train Loss [0.5820]	 Train Acc [85.65]	 Test Loss [3.6017]	 Test Acc [35.32(10.05)]	 Train Time [23.61]
Round [161/200]	 Train Loss [0.5760]	 Train Acc [85.82]	 Train Time [27.78]
Round [162/200]	 Train Loss [0.7628]	 Train Acc [81.42]	 Train Time [22.88]
Round [163/200]	 Train Loss [0.6031]	 Train Acc [85.22]	 Train Time [28.31]
Round [164/200]	 Train Loss [0.5315]	 Train Acc [86.71]	 Train Time [18.02]
Round [165/200]	 Train Loss [0.6834]	 Train Acc [83.49]	 Train Time [27.32]
Round [166/200]	 Train Loss [0.5716]	 Train Acc [85.77]	 Train Time [19.96]
Round [167/200]	 Train Loss [0.5569]	 Train Acc [86.17]	 Train Time [23.21]
Round [168/200]	 Train Loss [0.6521]	 Train Acc [83.99]	 Train Time [34.06]
Round [169/200]	 Train Loss [0.5043]	 Train Acc [87.25]	 Train Time [24.24]
Round [170/200]	 Train Loss [0.6614]	 Train Acc [83.90]	 Train Time [27.21]
Round [171/200]	 Train Loss [0.6916]	 Train Acc [83.41]	 Train Time [28.10]
Round [172/200]	 Train Loss [0.6524]	 Train Acc [83.89]	 Train Time [19.97]
Round [173/200]	 Train Loss [0.6655]	 Train Acc [83.93]	 Train Time [28.97]
Round [174/200]	 Train Loss [0.6048]	 Train Acc [85.23]	 Train Time [26.28]
Round [175/200]	 Train Loss [0.5371]	 Train Acc [86.61]	 Train Time [24.29]
Round [176/200]	 Train Loss [0.6306]	 Train Acc [84.71]	 Train Time [23.39]
Round [177/200]	 Train Loss [0.7059]	 Train Acc [83.05]	 Train Time [23.20]
Round [178/200]	 Train Loss [0.7016]	 Train Acc [82.78]	 Train Time [22.89]
Round [179/200]	 Train Loss [0.5238]	 Train Acc [86.91]	 Train Time [24.78]
KL Divergence: μ=8.3840
Round [180/200]	 Train Loss [0.6585]	 Train Acc [84.04]	 Test Loss [3.6883]	 Test Acc [35.88(10.97)]	 Train Time [22.28]
Round [181/200]	 Train Loss [0.5918]	 Train Acc [85.29]	 Train Time [22.57]
Round [182/200]	 Train Loss [0.6140]	 Train Acc [84.80]	 Train Time [18.75]
Round [183/200]	 Train Loss [0.7173]	 Train Acc [82.64]	 Train Time [21.59]
Round [184/200]	 Train Loss [0.6111]	 Train Acc [84.98]	 Train Time [20.76]
Round [185/200]	 Train Loss [0.6640]	 Train Acc [83.67]	 Train Time [18.16]
Round [186/200]	 Train Loss [0.5698]	 Train Acc [85.88]	 Train Time [18.63]
Round [187/200]	 Train Loss [0.6136]	 Train Acc [84.98]	 Train Time [18.25]
Round [188/200]	 Train Loss [0.6819]	 Train Acc [83.45]	 Train Time [15.63]
Round [189/200]	 Train Loss [0.5995]	 Train Acc [85.27]	 Train Time [20.41]
Round [190/200]	 Train Loss [0.7250]	 Train Acc [82.64]	 Train Time [21.33]
Round [191/200]	 Train Loss [0.6403]	 Train Acc [84.24]	 Train Time [18.06]
Round [192/200]	 Train Loss [0.6541]	 Train Acc [84.25]	 Train Time [19.41]
Round [193/200]	 Train Loss [0.6329]	 Train Acc [84.70]	 Train Time [15.01]
Round [194/200]	 Train Loss [0.6120]	 Train Acc [84.86]	 Train Time [21.44]
Round [195/200]	 Train Loss [0.5849]	 Train Acc [85.69]	 Train Time [22.25]
Round [196/200]	 Train Loss [0.6460]	 Train Acc [84.29]	 Train Time [19.97]
Round [197/200]	 Train Loss [0.6602]	 Train Acc [83.94]	 Train Time [20.54]
Round [198/200]	 Train Loss [0.6018]	 Train Acc [85.23]	 Train Time [18.29]
Round [199/200]	 Train Loss [0.6301]	 Train Acc [84.50]	 Train Time [16.55]
KL Divergence: μ=8.4305
Round [200/200]	 Train Loss [0.6197]	 Train Acc [84.82]	 Test Loss [3.6505]	 Test Acc [35.78(10.42)]	 Train Time [63.58]
Method took (33.11, 9.53) seconds per training iteration
Method took (6660.17) total seconds
